basDt,idxNm,clpr,change_rate
20250617,코스피,2950.3,0.001235296912436512
20250618,코스피,2972.19,0.007419584449039007
20250619,코스피,2977.74,0.001867309963360153
20250620,코스피,3021.84,0.014809889379193697
20250623,코스피,3014.47,-0.0024389113917349103
20250624,코스피,3103.64,0.029580655969374314
20250625,코스피,3108.25,0.0014853526826565933
20250626,코스피,3079.56,-0.009230274270087713
20250627,코스피,3055.94,-0.007669926872670096
20250630,코스피,3071.7,0.0051571693161514
20250701,코스피,3089.65,0.005843669629195691
20250702,코스피,3075.06,-0.004722217726927047
20250703,코스피,3116.27,0.013401364526220538
20250704,코스피,3054.28,-0.01989237132854338
20250707,코스피,3059.47,0.0016992548161922638
20250708,코스피,3114.95,0.018133859786172213
20250709,코스피,3133.74,0.006032199553764883
20250710,코스피,3183.23,0.01579263116914631
20250711,코스피,3175.77,-0.0023435315701347825
20250714,코스피,3202.03,0.008268860780220377
20250715,코스피,3215.28,0.004137999956277838
20250716,코스피,3186.38,-0.00898833072080818
20250717,코스피,3192.29,0.001854769362097386
20250718,코스피,3188.07,-0.0013219350372302152
20250721,코스피,3210.81,0.007132842127054895
20250722,코스피,3169.94,-0.012728875268234408
20250723,코스피,3183.77,0.004362858603002007
20250724,코스피,3190.45,0.0020981415114784685
20250725,코스피,3196.05,0.0017552382892696006
20250728,코스피,3209.52,0.004214577368939709
20250729,코스피,3230.57,0.006558613125950297
20250730,코스피,3254.47,0.0073980752622602175
20250731,코스피,3245.44,-0.002774645333955994
20250801,코스피,3119.41,-0.03883294715046348
20250804,코스피,3147.75,0.009085051339836836
20250805,코스피,3198.0,0.015963783654991737
20250806,코스피,3198.14,4.377736085059425e-05
20250807,코스피,3227.68,0.009236618784668638
20250808,코스피,3210.01,-0.0054745203985524515
20250811,코스피,3206.77,-0.0010093426500229485
20250812,코스피,3189.91,-0.005257626833230944
20250813,코스피,3224.37,0.010802812618537772
20250814,코스피,3225.66,0.00040007815480236353
20250818,코스피,3177.28,-0.014998480931034175
20250819,코스피,3151.56,-0.008094974317655379
20250820,코스피,3130.09,-0.006812499206741984
20250821,코스피,3141.74,0.0037219377078612226
20250822,코스피,3168.73,0.008590780904848883
20250825,코스피,3209.86,0.012979963581624121
20250826,코스피,3179.36,-0.009501972048625129
20250827,코스피,3187.16,0.0024533239394091133
20250828,코스피,3196.32,0.0028740320536151387
20250829,코스피,3186.01,-0.0032255844220854257
20250901,코스피,3142.93,-0.013521614809746452
20250902,코스피,3172.35,0.009360692093046907
20250903,코스피,3184.42,0.00380475042161188
20250904,코스피,3200.83,0.00515321471413932
20250905,코스피,3205.12,0.0013402773655581957
20250908,코스피,3219.59,0.004514651557508076
20250909,코스피,3260.05,0.012566817514031214
20250910,코스피,3314.53,0.016711400131899756
20250911,코스피,3344.2,0.008951495385469244
20250912,코스피,3395.54,0.015351952634411914
20250915,코스피,3407.31,0.003466311691218582
20250916,코스피,3449.62,0.012417420193642448
20250917,코스피,3413.4,-0.010499707214127851
20250918,코스피,3461.3,0.014032929044354603
20250919,코스피,3445.24,-0.004639875191402187
20250922,코스피,3468.65,0.006794882214301579
20250923,코스피,3486.19,0.005056722355959886
20250924,코스피,3472.14,-0.004030187683402242
20250925,코스피,3471.11,-0.00029664702460141523
20250926,코스피,3386.05,-0.024505129483076038
20250929,코스피,3431.21,0.013337074171970276
20250930,코스피,3424.6,-0.0019264341150789788
20251001,코스피,3455.83,0.009119313204461799
20251002,코스피,3549.21,0.027021005084162164
20251010,코스피,3610.6,0.017296806895055417
20251013,코스피,3584.55,-0.007214867335068931
20251014,코스피,3561.81,-0.006343892538812512
20251015,코스피,3657.28,0.026803787961738657
20251016,코스피,3748.37,0.024906487881704242
20251017,코스피,3748.89,0.00013872696665484519
20251020,코스피,3814.69,0.017551862017823883
20251021,코스피,3823.84,0.0023986221685117215
20251022,코스피,3883.68,0.015649190342692076
20251023,코스피,3845.56,-0.009815432785399425
20251024,코스피,3941.59,0.024971655623628353
20251027,코스피,4042.83,0.025685066178877003
20251028,코스피,4010.41,-0.008019135110801101
20251029,코스피,4081.15,0.017639094257195786
20251030,코스피,4086.89,0.0014064663146415857
20251031,코스피,4107.5,0.00504295442255609
20251103,코스피,4221.87,0.027844187461959713
20251104,코스피,4121.74,-0.02371697849531129
20251105,코스피,4004.42,-0.02846370707516721
20251106,코스피,4026.45,0.005501420929872491
20251107,코스피,3953.76,-0.018053123719405373
20251110,코스피,4073.24,0.030219335518594903
20251111,코스피,4106.39,0.008138484351523756
20251112,코스피,4150.39,0.01071500758573829
20251113,코스피,4170.63,0.004876650146130812
20251114,코스피,4011.57,-0.03813812301738584
20251117,코스피,4089.25,0.01936398965990871
20251118,코스피,3953.62,-0.03316745124411569
20251119,코스피,3929.51,-0.006098208730226928
20251120,코스피,4004.85,0.019172873971563753
20251121,코스피,3853.26,-0.03785160492902351
20251124,코스피,3846.06,-0.0018685476713224958
20251125,코스피,3857.78,0.003047274353494389
20251126,코스피,3960.87,0.026722622855631872
20251127,코스피,3986.91,0.006574313219065431
20251128,코스피,3926.59,-0.015129511325813638
20251201,코스피,3920.37,-0.001584071675423293
20251202,코스피,3994.93,0.019018613039075483
20251203,코스피,4036.3,0.010355625755645415
20251204,코스피,4028.51,-0.0019299853826524327
20251205,코스피,4100.05,0.017758426812891193
20251208,코스피,4154.85,0.013365690662308971
20251209,코스피,4143.55,-0.002719713106369759
20251210,코스피,4135.0,-0.002063448009557045
20251211,코스피,4110.62,-0.005896009673518776
20251212,코스피,4167.16,0.013754616091976368
20251215,코스피,4090.59,-0.018374624444465693
20251216,코스피,3999.13,-0.022358632862252148
20251217,코스피,4056.41,0.014323115277572906
20251218,코스피,3994.51,-0.015259798688988413
20251219,코스피,4020.55,0.00651894725510771
20251222,코스피,4105.93,0.02123590056086866
20251223,코스피,4117.32,0.0027740365763662123
20251224,코스피,4108.62,-0.002113024977412392
20251226,코스피,4129.68,0.005125808665683573
